accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0000599	Bacillus thuringiensis	thuricin CD α	antibacterial	HQ446454.1	0	0
BGC0000600	Bacillus thuringiensis	thurincin H		FJ977580.1	0	0
BGC0000601	Bacillus subtilis subsp. subtilis str. 168	sporulation killing factor	antibacterial	AL009126.3	213941	220032
BGC0000602	Bacillus subtilis subsp. spizizenii ATCC 6633	subtilosin A	antibacterial	AJ430547.1	0	0
BGC0000603	Streptomyces hygroscopicus	cyclothiazomycin	antifungal, inhibitor	FJ472825.1	0	0
BGC0000604	Nonomuraea sp. WU8817	GE2270A	antibacterial	FJ461359.1	0	0
BGC0000605	Streptomyces sp. ATCC 55365	GE37468	antibacterial	JN052143.1	7234	24412
BGC0000606	Streptomyces lactacystinaeus	lactazole	cytotoxic	AB820694.1	0	0
BGC0000607	Macrococcus caseolyticus	micrococcin P1	antibacterial	KM613043.1	0	0
BGC0000608	Actinokineospora fastidiosa	nocathiacin I	anti-Gram-positive	HM236314.1	0	0
BGC0000609	Nocardia sp. ATCC 202099	nocathiacin		GU564398.1	0	0
BGC0000610	Streptomyces actuosus	nosiheptide	antibacterial	FJ438820.1	0	0
BGC0000611	Streptomyces sioyaensis	siomycin A	antibacterial, cytotoxic	FJ436355.1	0	0
BGC0000612	Bacillus cereus ATCC 14579	thiocillin I	antibacterial	AE016877.1	4977401	4998568
BGC0000613	Nonomuraea sp. Bp3714-39	thiomuracin A	antibacterial	FJ461360.1	0	0
BGC0000614	Streptomyces laurentii	thiostrepton	antibacterial, cytotoxic, signalling, anti-Gram-positive, antimalarial, anticancer	FJ652572.1	0	0
BGC0000615	Nocardiopsis sp. TFS65-07	TP-1161	antibacterial	HM467197.1	0	0
BGC0000616	Bacillus velezensis FZB42	amylocyclicin	antibacterial	CP000560.1	3044506	3048678
BGC0000617	Bacillus coagulans	coagulin	antibacterial	AF300457.1	0	0
BGC0000618	Enterococcus faecium DO	enterocin A		CP003583.1	2312434	2313194
BGC0000619	Lactobacillus gasseri	gassericin T		AB710328.1	0	0
BGC0000620	Lactococcus lactis	lacticin Q		AB712393.1	0	0
BGC0000621	Escherichia coli	linaclotide		M18346.1	0	0
BGC0000622	Bacillus megaterium	megacin	antibacterial	EU014074.1	0	0
BGC0000623	Lactobacillus plantarum	plantaricin W α		AY007251.1	0	0
BGC0000624	Lactobacillus salivarius	salivaricin CRL1328 α peptide		EF592482.1	0	0
BGC0000625	Streptomyces olivoviridis	thioviridamide	cytotoxic	AB819757.1	7448	22902
BGC0000626	Bacillus thuringiensis	thuricin		KJ504104.1	0	0
BGC0000627	Aspergillus flavus NRRL3357	ustiloxin B	cytotoxic, phytotoxic	EQ963480.1	1600261	1628555
BGC0000628	Lactobacillus paragasseri JV-V03	lactocillin	antibacterial	ACGO02000004.1	9724	23523
BGC0000629	Aspergillus flavus	aflatrem		AY559849.2	0	0
BGC0000630	Paracoccus haeundaensis	(2R,3S,3'S)-2-hydroxyastaxanthin		AY957386.1	0	0
BGC0000631	Botrytis cinerea B05.10	Botrydial		CP009816.1	2216500	2246000
BGC0000632	Nocardia terpenica	brasilicardin A	antifungal, cytotoxic	KV411304.1	2720627	2736748
BGC0000633	Streptomyces avermitilis	carotenoid		AB070934.1	0	0
BGC0000634	Brevundimonas sp. SD212	carotenoid		AB181388.1	0	0
BGC0000635	Paracoccus sp. N81106	carotenoid		AB206672.1	0	0
BGC0000636	Brevibacterium linens	carotenoid		AF139916.1	0	0
BGC0000637	Corynebacterium glutamicum	carotenoid		AF159510.1	0	0
BGC0000638	Pantoea ananatis	carotenoid		D90087.2	0	0
BGC0000639	Enterobacteriaceae bacterium DC260	carotenoid		DQ090833.1	0	0
BGC0000640	Enterobacteriaceae bacterium DC404	carotenoid		DQ090834.1	0	0
BGC0000641	Enterobacteriaceae bacterium DC416	carotenoid		DQ090835.1	0	0
BGC0000642	Enterobacteriaceae bacterium DC413	carotenoid		DQ090836.1	0	0
BGC0000643	Brevundimonas vesicularis	carotenoid		DQ309446.1	0	0
BGC0000644	Dietzia sp. CQ4	carotenoid		DQ369754.1	0	0
BGC0000645	Halobacillus halophilus DSM 2266	carotenoid		FJ040212.1	0	0
BGC0000646	uncultured bacterium	β-carotein	antioxidant	FJ151553.1	0	0
BGC0000647	Rhodobacter sphaeroides	carotenoid		S71770.1	0	0
BGC0000648	Myxococcus xanthus	carotenoid		Z21955.2	0	0
BGC0000649	Streptomyces griseus subsp. griseus NBRC 13350	carotenoid		AF272737.1	0	0
BGC0000650	Algoriphagus sp. KK10202C	carotenoid		DQ286432.1	0	0
BGC0000651	Streptomyces argenteolus	KS-505a	inhibitor, antiprotozoal	AB307968.1	0	0
BGC0000652	Streptomyces sp. CNQ525	napyradiomycin	antibacterial	EF397639.1	0	0
BGC0000653	Streptomyces arenae	pentalenolactone	antibacterial, antiviral	HQ292065.1	0	0
BGC0000654	Streptomyces sp. Tu6071	phenalinolactone A	antibacterial	DQ230532.1	0	0
BGC0000655	Streptomyces sioyaensis	siomycin	antibacterial	FJ436355.1	0	0
BGC0000656	Xanthobacter autotrophicus Py2	zeaxanthin	antioxidant	AF408848.1	0	0
BGC0000657	Pseudanabaena sp. dqh15	2-methylisoborneol	odorous metabolite, flavor	HQ830028.1	0	0
BGC0000658	Streptomyces griseus subsp. griseus NBRC 13350	2-methylisoborneol		AP009493.1	1490671	1492896
BGC0000659	Saccharopolyspora erythraea NRRL 2338	2-methylisoborneol		AM420293.1	4075163	4077099
BGC0000660	Streptomyces coelicolor A3(2)	albaflavenone	antibacterial	AL645882.2	5681016	5683483
BGC0000662	Streptomyces griseus subsp. griseus NBRC 13350	grixazone A	antibacterial, pigment	AP009493.1	4957169	4972074
BGC0000663	Streptomyces coelicolor A3(2)	hopene	antiparasidal, cytotoxic	AL645882.2	7516017	7529773
BGC0000664	Streptomyces griseus subsp. griseus NBRC 13350	isorenieratene	antioxidant, pigment	AP009493.1	8206573	8214963
BGC0000665	Streptomyces sp. HKI0576	xiamycin	antiviral	HE815466.1	0	0
BGC0000666	Streptomyces sp. SCSIO 02999	xiamycin A	antibacterial, antiviral, cytotoxic	JQ812811.1	0	0
BGC0000667	Penicillium roqueforti FM164	PR-toxin		HG792016.1	3342234	3350182
BGC0000668	Hapalosiphon welwitschii UTEX B 1830	12-epi-hapalindole C isonitrile		KF811479.1	0	0
BGC0000669	Arabidopsis thaliana	marneral		NC_003076.8	17023646	17058245
BGC0000670	Arabidopsis thaliana	thalianol		NC_003076.8	19428888	19461689
BGC0000671	Oryza sativa Japonica Group	momilactone B		AP008210.2	5310457	5479082
BGC0000672	Oryza sativa Japonica Group	phytocassane	antifungal	AP008208.2	22520469	22764099
BGC0000673	Aspergillus nidulans FGSC A4	pimara-8(14),15-diene		BN001307.1	1224169	1233265
BGC0000674	Streptomyces clavuligerus ATCC 27064	(-)-δ-cadinene	cytotoxic	DS570637.1	74962	79952
BGC0000675	Streptomyces clavuligerus ATCC 27064	(+)-T-muurolol	antifungal	DS570654.1	64994	69969
BGC0000676	Phoma betae	aphidicolin	inhibitor	AB114137.1	0	0
BGC0000677	Streptomyces melanosporofaciens	cyclooctatin	antibacterial, antiprotozoal, inhibitor	AB448947.1	0	0
BGC0000678	Streptomyces avermitilis MA-4680 = NBRC 14893	pentalenolactone	antiviral, antiproliferative, inhibitor	BA000030.3	3745497	3758933
BGC0000679	Micromonospora sp. M42	diazepinomicin	antibacterial	KK037233.1	255998	303913
BGC0000680	Aspergillus nidulans FGSC A4	austinol		BN001305.1	293945	314538
BGC0000682	Aspergillus terreus NIH2624	terretonin		CH476609.1	364196	391519
BGC0000683	Streptomyces avermitilis MA-4680 = NBRC 14893	avermitilol		BA000030.3	86073	87080
BGC0000684	Aspergillus nidulans FGSC A4	asperthecin		BN001301.1	1533932	1555677
BGC0000685	Alternaria brassicicola ATCC 96836	brassicicene C		ACIW01000469.1	0	0
BGC0000686	Aspergillus fumigatus Af293	helvolic acid	antibacterial	CM000172.1	3892066	3908342
BGC0000687	Diaporthe amygdali	phyllocladan-16α-ol		AB254158.1	0	0
BGC0000688	Diaporthe amygdali	copalyl diphosphate		AB254160.1	0	0
BGC0000689	Micromonospora echinospora	2-deoxystreptamine		AJ575934.3	0	0
BGC0000690	Streptomyces glaucescens	hydroxystreptomycin	antibacterial	AJ006985.1	0	0
BGC0000692	Streptoalloteichus hindustanus	apramycin	antibacterial	AJ875019.1	0	0
BGC0000693	Bacillus circulans	butirosin A	antibacterial	AB097196.1	0	0
BGC0000694	Bacillus circulans	butirosin		AJ781030.2	0	0
BGC0000696	Micromonospora echinospora	gentamicin	antibacterial	AJ628149.4	0	0
BGC0000697	Micromonospora echinospora	gentamicin		AY524043.1	0	0
BGC0000698	Streptomyces hygroscopicus	hygromycin A	antibacterial	DQ314862.1	0	0
BGC0000699	Streptomyces hygroscopicus subsp. hygroscopicus	hygromycin A	antibacterial	AJ628642.1	0	0
BGC0000700	Streptomyces tenjimariensis	istamycin	antibacterial	AJ845083.2	0	0
BGC0000701	Streptomyces hygroscopicus subsp. yingchengensis	jinggangmycin	antibacterial, antifungal	DQ160226.1	0	0
BGC0000702	Streptomyces kanamyceticus	kanamycin	antibacterial	AB164642.1	0	0
BGC0000703	Streptomyces kanamyceticus	kanamycin		CP023699.1	1695607	1729284
BGC0000704	Streptomyces kanamyceticus	kanamycin		AJ582817.3	0	0
BGC0000705	Streptomyces kanamyceticus	kanamycin		AJ628422.2	0	0
BGC0000706	Streptomyces kanamyceticus	kanamycin		AB254081.1	0	0
BGC0000707	Streptomyces kasugaensis	kasugamycin	antibacterial, antifungal, cytotoxic	AB005901.1	0	0
BGC0000708	Streptomyces lividus	lividomycin	antibacterial	AJ748832.1	0	0
BGC0000709	Streptomyces fradiae ATCC 10745 = DSM 40063	neomycin	antibacterial	AJ629247.1	0	0
BGC0000710	Streptomyces fradiae ATCC 10745 = DSM 40063	neomycin		AJ786317.1	0	0
BGC0000711	Streptomyces fradiae	neomycin	antibacterial	AJ843080.1	0	0
BGC0000712	Streptomyces rimosus subsp. paromomycinus	paromomycin	anthelmintic, antibacterial, antifungal, antiprotozoal	AJ628955.2	0	0
BGC0000713	Streptomyces ribosidificus	ribostamycin	antibacterial	AJ748131.1	0	0
BGC0000714	Micromonospora inyonensis	sisomicin	antibacterial	FJ160413.1	0	0
BGC0000715	Streptomyces spectabilis	actinospectacin	antibacterial	EU255259.1	0	0
BGC0000716	Streptomyces netropsis	spectinomycin	antibacterial	U70376.2	0	0
BGC0000717	Streptomyces griseus subsp. griseus	streptomycin		AJ862840.1	0	0
BGC0000718	Streptomyces griseus	streptomycin		Y08763.1	0	0
BGC0000719	Streptoalloteichus hindustanus	tobramycin	antibacterial	AB103327.1	0	0
BGC0000720	Streptoalloteichus tenebrarius	tobramycin		AJ579650.1	0	0
BGC0000721	Streptoalloteichus tenebrarius	tobramycin		AJ810851.1	0	0
BGC0000722	Streptomyces hygroscopicus subsp. jinggangensis	validamycin A	antibacterial, antifungal	DQ164098.1	0	0
BGC0000723	Streptomyces hygroscopicus subsp. limoneus	validamycin A	antifungal	DQ223652.1	0	0
BGC0000724	Streptomyces griseus subsp. griseus NBRC 13350	streptomycin	antibacterial	AP009493.1	6919728	6951001
BGC0000725	Pseudomonas aeruginosa PAO1	alginate	antioxidant	AE004091.2	3962825	3979476
BGC0000726	Pseudomonas sp. QDA	alginate		AY279078.1	0	0
BGC0000727	Streptomyces aureofaciens	indigoidine	antibacterial	FJ479754.1	0	0
BGC0000728	Klebsiella pneumoniae subsp. ozaenae	capsular polysaccharide	extracelluar capsule	AB289645.1	0	0
BGC0000729	Klebsiella pneumoniae	capsular polysaccharide		AB289646.1	0	0
BGC0000730	Klebsiella pneumoniae	capsular polysaccharide		AB289647.1	0	0
BGC0000731	Klebsiella pneumoniae	capsular polysaccharide		AB289648.1	0	0
BGC0000732	Raoultella planticola	capsular polysaccharide		AB289649.1	0	0
BGC0000733	Klebsiella pneumoniae	capsular polysaccharide		AB289650.1	0	0
BGC0000734	Pasteurella multocida	capsular polysaccharide		AF067175.2	0	0
BGC0000735	Pasteurella multocida	capsular polysaccharide		AF169324.1	0	0
BGC0000736	Mannheimia haemolytica	capsular polysaccharide		AF170495.1	0	0
BGC0000737	Pasteurella multocida	capsular polysaccharide		AF302465.1	0	0
BGC0000738	Pasteurella multocida	capsular polysaccharide		AF302466.1	0	0
BGC0000739	Pasteurella multocida	capsular polysaccharide		AF302467.1	0	0
BGC0000740	Streptococcus agalactiae	capsular polysaccharide		AF332893.1	0	0
BGC0000741	Streptococcus agalactiae	capsular polysaccharide		AF332896.1	0	0
BGC0000742	Streptococcus agalactiae	capsular polysaccharide		AF332901.1	0	0
BGC0000743	Streptococcus agalactiae	capsular polysaccharide		AF332902.1	0	0
BGC0000744	Streptococcus agalactiae	capsular polysaccharide		AF363055.1	0	0
BGC0000745	Streptococcus agalactiae	capsular polysaccharide		AF363056.1	0	0
BGC0000746	Streptococcus agalactiae	capsular polysaccharide		AF363057.1	0	0
BGC0000747	Streptococcus agalactiae	capsular polysaccharide		AF363058.1	0	0
BGC0000748	Streptococcus agalactiae	capsular polysaccharide		AF363059.1	0	0
BGC0000749	Escherichia coli	capsular polysaccharide		AF503612.1	0	0
BGC0000750	Actinobacillus pleuropneumoniae	capsular polysaccharide		AY357726.1	0	0
BGC0000751	Actinobacillus pleuropneumoniae	capsular polysaccharide		AY496881.1	0	0
BGC0000752	Actinobacillus pleuropneumoniae serovar 6 str. Femo	capsular polysaccharide		AY534316.1	0	0
BGC0000753	Actinobacillus pleuropneumoniae	capsular polysaccharide		AY534317.1	0	0
BGC0000754	Avibacterium paragallinarum	capsular polysaccharide		FJ965540.1	0	0
BGC0000755	Avibacterium paragallinarum 221	capsular polysaccharide		FJ965541.1	0	0
BGC0000756	Avibacterium paragallinarum	capsular polysaccharide		FJ965542.1	0	0
BGC0000757	Avibacterium paragallinarum	capsular polysaccharide		FJ965543.1	0	0
BGC0000758	Staphylococcus aureus	capsular polysaccharide		U10927.2	11342	26879
BGC0000759	Sphingomonas sp. ATCC 53159	diutan polysaccharide	exopolysaccharide	EU026118.1	0	0
BGC0000760	Acinetobacter venetianus RAG-1 = CIP 110063	emulsan	biofilm, emulsifier	AJ243431.1	0	0
BGC0000761	Methylobacillus sp. 12S	exopolysaccharide	cell envelope	AB062506.2	0	0
BGC0000762	Rhizobium leguminosarum bv. viciae	exopolysaccharide		AF028810.2	0	0
BGC0000763	Pantoea stewartii subsp. stewartii DC283	stewartan	biofilm, virulence factor	AF077292.2	0	0
BGC0000764	Lactococcus lactis	exopolysaccharide		AY741550.2	0	0
BGC0000765	Lactobacillus johnsonii	exopolysaccharide		EF138833.1	0	0
BGC0000766	Lactobacillus johnsonii	exopolysaccharide		EF138834.1	0	0
BGC0000767	Lactobacillus johnsonii	exopolysaccharide		EF138835.1	0	0
BGC0000768	Sphingomonas elodea ATCC 31461	gellan polysaccharide	biofilm	AY217008.1	0	0
BGC0000769	Mycobacterium avium subsp. hominissuis A5	glycopeptidolipid		AY130970.1	0	0
BGC0000770	Campylobacter jejuni	lipo-oligosaccharide		AY297047.1	0	0
BGC0000771	Campylobacter jejuni	lipo-oligosaccharide		AY644679.1	0	0
BGC0000772	Brucella melitensis	lipopolysaccharide	adhesion, cell envelope	AF047478.1	0	0
BGC0000773	Escherichia coli	lipopolysaccharide		AF125322.1	0	0
BGC0000774	Xanthomonas campestris pv. campestris	lipopolysaccharide		AF204145.1	0	0
BGC0000775	Legionella pneumophila	lipopolysaccharide		AJ007311.1	0	0
BGC0000776	Escherichia coli	lipopolysaccharide		AJ426044.2	0	0
BGC0000777	Escherichia coli	lipopolysaccharide		AJ426045.2	0	0
BGC0000778	Aeromonas piscicola	lipopolysaccharide		EU296246.1	0	0
BGC0000779	Aeromonas piscicola	lipopolysaccharide		EU296247.1	0	0
BGC0000780	Vibrio parahaemolyticus	O&K-antigen		AB353134.1	0	0
BGC0000781	Pseudomonas aeruginosa	O-antigen		AF035937.1	0	0
BGC0000782	Burkholderia pseudomallei 1026b	O-antigen		AF064070.1	0	0
BGC0000783	Xanthomonas oryzae pv. oryzae	O-antigen		AF337647.3	0	0
BGC0000784	Pseudomonas aeruginosa	O-antigen		AF498400.1	0	0
BGC0000785	Burkholderia mallei	O-antigen		AY028370.1	0	0
BGC0000786	Edwardsiella ictaluri 93-146	O-antigen		AY057452.2	0	0
BGC0000787	Escherichia coli	O-antigen		AY493508.1	0	0
BGC0000788	Salmonella enterica subsp. salamae serovar Greenside	O-antigen		AY730594.1	0	0
BGC0000789	Escherichia coli	O-antigen		DQ220292.1	0	0
BGC0000790	Escherichia coli	O-antigen		EF027106.1	0	0
BGC0000791	Cronobacter sakazakii	O-antigen		EU076545.1	0	0
BGC0000792	Enterococcus faecalis OG1RF	polysaccharide		AF071085.1	0	0
BGC0000793	Salmonella enterica subsp. arizonae	lipopolysaccharide oligosaccharide		AF511116.1	0	0
BGC0000794	Geobacillus stearothermophilus	S-layer glycan	cell envelope	AF328862.2	0	0
BGC0000795	Aneurinibacillus thermoaerophilus	S-layer glycan		AY442352.1	0	0
BGC0000796	Paenibacillus alvei	S-layer glycan		HM011508.1	0	0
BGC0000797	Sphingomonas sp. S88	sphingan polysaccharide	extracelluar capsule	U51197.1	0	0
BGC0000798	Sorghum bicolor	dhurrin		CM000760.1	1058885	1163330
BGC0000799	Escherichia coli	colanic acid	adhesion	U38473.1	0	0
BGC0000800	Xanthomonas campestris	xanthan	emulsifier	U22511.1	0	0
BGC0000801	Sinorhizobium meliloti	galactoglucan	exopolysaccharide	Z79692.1	0	0
BGC0000802	Sinorhizobium meliloti	succinoglycan	emulsifier	AJ225561.1	0	0
BGC0000803	Lactobacillus rhamnosus GG	GG exopolysaccharide		FJ428614.1	0	0
BGC0000804	Streptomyces coelicoflavus ZG0656	acarviostatin I03	inhibitor	AHGS01000039.1	14922	55264
BGC0000805	Streptomyces ghanaensis ATCC 14672	moenomycin A	anti-Gram-positive, antibacterial	DQ988993.1	898	5623
BGC0000806	Glycomyces sp. NRRL B-16210	phosphonoglycans	exopolysaccharide	KJ125437.1	0	0
BGC0000807	Stackebrandtia nassauensis DSM 44728	phosphonoglycans		CP001778.1	6008598	6044686
BGC0000809	Actinomadura melliaura	AT2433-A1		DQ297453.1	0	0
BGC0000810	Zea mays	benzoxazinone DIMBOA	inhibitor, insecticidal, antifungal, phytotoxic, antibacterial	CM000780.3	3003162	3267368
BGC0000811	Aspergillus fumigatus Af293	fumigaclavine C	anticancer	AAHF01000001.1	2907012	2929163
BGC0000812	Shiraia sp. slf14	huperzine A		KF915812.1	0	0
BGC0000813	Nonomuraea longicatena	K-252a	inhibitor	DQ399653.1	0	0
BGC0000814	Nonomuraea longicatena	K-252a	inhibitor	FJ031030.1	0	0
BGC0000815	Epichloe uncinata	loline		AY723749.1	0	0
BGC0000816	Malbranchea aurantiaca	malbrancheamide A	inhibitor	JQ708193.1	0	0
BGC0000817	uncultured bacterium	methylarcyriarubin	cytotoxic	KF551863.1	5678	12491
BGC0000818	Aspergillus versicolor	notoamide A	cytotoxic	JQ708194.1	0	0
BGC0000819	Penicillium fellutanum	paraherquamide		JQ708195.1	0	0
BGC0000820	Streptomyces griseofuscus	physostigmine	inhibitor, toxic	KF201694.1	0	0
BGC0000821	Lechevalieria aerocolonigenes	rebeccamycin	antibacterial, antifungal, cytotoxic	AB090952.1	0	0
BGC0000822	Lechevalieria aerocolonigenes	rebeccamycin	cytotoxic	AJ414559.1	0	0
BGC0000823	Lechevalieria aerocolonigenes	rebeccamycin		AB071405.1	0	0
BGC0000825	Streptomyces sp. TP-A0274	staurosporine	antifungal, cytotoxic	AB088119.1	0	0
BGC0000826	Streptomyces clavuligerus ATCC 27064	staurosporine	antifungal, cytotoxic	CM000914.1	1200116	1226201
BGC0000827	Salinispora arenicola CNS-205	staurosporine		CP000850.1	2672473	2696772
BGC0000828	Chromobacterium violaceum	violacein		AB032799.1	0	0
BGC0000829	Chromobacterium violaceum	violacein	antibacterial, antitumor, cytotoxic, signalling	AF172851.1	0	0
BGC0000830	uncultured bacterium	violacein	cytotoxic	AF367409.1	0	0
BGC0000831	Duganella sp. B2	violacein		GQ266676.1	0	0
BGC0000832	Streptomyces roseochromogenus subsp. oscitans DS 12.976	clorobiocin	antibacterial	AF329398.1	9348	42291
BGC0000833	Streptomyces rishiriensis	coumermycin A1	antibacterial	AF235050.4	2307	40140
BGC0000834	Streptomyces niveus	cathomycin	antibacterial	AF170880.4	4859	28076
BGC0000835	Streptomyces antibioticus	simocyclinone	antibacterial, cytotoxic	AF321122.1	0	0
BGC0000836	Escherichia coli CFT073	APE Ec	antioxidant	AE014075.1	1143727	1158748
BGC0000837	Aliivibrio fischeri ES114	APE Vf	antioxidant	CP000020.2	928348	946886
BGC0000838	Flavobacterium johnsoniae UW101	flexirubin		CP000685.1	1218315	1253377
BGC0000840	Xanthomonas oryzae pv. oryzae	xanthomonadin I	pigment	AY010120.2	0	0
BGC0000841	Streptomyces clavuligerus ATCC 27064	alanylclavam	antibacterial, antifungal	CM000914.1	1152119	1163141
BGC0000842	Streptomyces argenteolus	carbapenem MM4550	antibacterial	KF042303.1	1	43761
BGC0000843	Streptomyces clavuligerus ATCC 27064	alanylclavam	antibacterial, antifungal	CM000913.1	3437628	3461293
BGC0000844	Streptomyces clavuligerus	clavulanic acid	antibacterial, inhibitor	AY258009.2	0	0
BGC0000845	Streptomyces clavuligerus ATCC 27064	clavulanic acid	antibacterial, inhibitor	DS570624.1	177438	210968
BGC0000846	Pseudomonas syringae	tabtoxin	phytotoxic	DQ187985.1	0	0
BGC0000847	Streptomyces cattleya	thienamycin	antibacterial	AJ421798.1	0	0
BGC0000848	Streptomyces griseus subsp. griseus NBRC 13350	A-factor	regulatory	AP009493.1	8273444	8274388
BGC0000849	Streptomyces coelicolor A3(2)	SCB1		AL645882.2	6890528	6892237
BGC0000850	Streptomyces acidiscabies	γ-butyrolactone	regulatory, signalling	FJ821515.1	0	0
BGC0000851	Streptomyces noursei ATCC 11455	albonoursin	antibacterial, cytotoxic	AY129235.1	0	0
BGC0000852	Sporosarcina pasteurii	ectoine	osmolytic	AF316874.1	0	0
BGC0000853	Streptomyces anulatus	ectoine		AY524544.1	0	0
BGC0000854	Methylomicrobium alcaliphilum 20Z	ectoine		DQ016501.2	0	0
BGC0000855	Methylomicrobium kenyense	ectoine		DQ238213.1	0	0
BGC0000856	Methylophaga thalassica	ectoine		EU315062.1	0	0
BGC0000857	Methylophaga alcalica	ectoine		EU315063.1	0	0
BGC0000858	Methylobacter marinus	ectoine		EU523734.1	0	0
BGC0000859	Methylomicrobium alcaliphilum	ectoine		EU523735.1	0	0
BGC0000860	Methylarcula marina	ectoine		GU249592.1	0	0
BGC0000861	Shewanella sp. BR-2	eicosapentaenoic acid	cell envelope	EU719604.1	0	0
BGC0000862	Shewanella pneumatophori	eicosapentaenoic acid		U73935.1	0	0
BGC0000863	Pseudoalteromonas sp. DS-12	eicosapentaenoic acid		DQ469875.1	0	0
BGC0000864	Moritella marina ATCC 15381	eicosapentaenoic acid-like compound		AB025342.2	0	0
BGC0000865	Photobacterium profundum SS9	eicoseicosapentaenoic acid		AF409100.1	0	0
BGC0000866	Burkholderia sp. DSM 9242	polyhydroxyalkanoate	carbon storage	AF153086.1	0	0
BGC0000867	Ectothiorhodospira shaposhnikovii	polyhydroxyalkanoic acids		AF307334.1	0	0
BGC0000868	Bacillus subtilis subsp. subtilis str. 168	teichuronic acid	cell wall	AF015609.1	0	0
BGC0000869	Nostoc sp. 'Peltigera membranacea cyanobiont'	heterocyst glycolipids	other	KC489223.1	0	0
BGC0000870	Mycobacterium tuberculosis H37Rv	mycolic acid	cell envelope	AL123456.3	736298	740187
BGC0000871	Myxococcus xanthus DK 1622	VEPE		CP000113.1	1789113	1797919
BGC0000872	Streptomyces sp. SANK 60405	A-90289 A	antibacterial	AB530986.1	0	0
BGC0000873	Saccharothrix mutabilis subsp. capreolus	A-201A		X84374.3	0	0
BGC0000874	Streptomyces griseochromogenes	blasticidin S	antibacterial, antifungal, antiprotozoal	AY196214.1	0	0
BGC0000875	Streptomyces sp. MK730-62F2	caprazamycin	antibacterial, inhibitor	FJ490409.1	0	0
BGC0000876	Streptomyces tendae	neopolyoxin C	antifungal, insecticidal	AJ250581.1	0	0
BGC0000877	Streptomyces cacaoi subsp. asoensis	polyoxin A	antifungal	EU158805.1	0	0
BGC0000878	Streptomyces alboniger	puromycin	antibacterial, antiprotozoal, cytotoxic	X92429.1	0	0
BGC0000879	Streptomyces rimosus	toyocamycin	antibacterial, antifungal, antiprotozoal, cytotoxic	EU573979.1	0	0
BGC0000880	Streptomyces chartreusis NRRL 3882	tunicamycin B1	antibacterial, antifungal, cytotoxic	HQ172897.1	8616	20609
BGC0000881	Streptomyces ahygroscopicus subsp. wuzhouensis	toyocamycin		JX576291.1	0	0
BGC0000882	Streptomyces rimofaciens	mildiomycin	antibacterial, antifungal	JN999998.1	6125	25938
BGC0000883	Streptomyces arginensis	arginomycin	antibacterial, antifungal	KC181124.1	0	0
BGC0000884	Pseudomonas syringae pv. syringae	3-methylarginine	antibacterial	FJ788104.1	0	0
BGC0000885	Streptomyces murayamaensis	4-hydroxy-3-nitrosobenzamide		AB530136.1	0	0
BGC0000886	Streptomyces tsukubensis	allylmalonyl-CoA		GU067679.1	0	0
BGC0000888	Bacillus sp. CS93	bacilysin	antibacterial, antifungal	GQ889493.1	0	0
BGC0000889	Streptomyces sp. WK-5344	bagremycin A	antibacterial, antifungal, cytotoxic	AB689797.1	0	0
BGC0000890	Pseudoalteromonas phenolica O-BC30	pentabromopseudilin	antibacterial, cytotoxic, inhibitor	KF540211.1	0	0
BGC0000891	Pseudoalteromonas luteoviolacea 2ta16	pentabromopseudilin	antibacterial, cytotoxic, inhibitor	AUSV01000133.1	32483	43745
BGC0000892	Burkholderia gladioli BSR3	caryoynencin	antibacterial	CP002599.1	2260844	2274030
BGC0000893	Streptomyces venezuelae ATCC 10712	chloramphenicol	antibacterial, antiviral	FR845719.1	1039846	1061851
BGC0000894	Monascus aurantiacus	citrinin	antitumor, antibacterial	EU309474.1	0	0
BGC0000895	Lactobacillus plantarum subsp. plantarum	citrulline	other	X99978.2	0	0
BGC0000896	Streptomyces lavendulae subsp. lavendulae	cycloserine	antibacterial	AB516431.1	0	0
BGC0000897	Streptomyces luridus	dehydrophos	antibacterial	GU199252.1	0	0
BGC0000898	Streptomyces venezuelae	desosamine	antibacterial	AF079762.1	0	0
BGC0000899	Streptomyces narbonensis	desosamine		AF521878.1	0	0
BGC0000900	Aspergillus oryzae	ferrichrome	siderophore	BD306272.1	0	0
BGC0000901	Aspergillus niger	ferrichrome	siderophore	DJ389528.1	0	0
BGC0000902	Saccharopolyspora erythraea NRRL 2338	flaviolin		AM420293.1	1363588	1367490
BGC0000903	Streptomyces cattleya	fluorometabolite		AM055586.1	0	0
BGC0000904	Streptomyces rubellomurinus	FR-900098	antibacterial, antimalarial, antiprotozoal	DQ267750.1	0	0
BGC0000905	Heliobacillus mobilis	heme D1	denitrificative	EU052681.1	0	0
BGC0000906	Heliophilum fasciatum	heme D1		EU068732.1	0	0
BGC0000907	Streptomyces lincolnensis	lincomycin	antibacterial	EU124663.1	0	0
BGC0000908	Streptomyces avermitilis	melanin		AB070938.1	0	0
BGC0000909	Streptomyces avermitilis	melanin		AB070939.1	0	0
BGC0000910	Streptomyces coelicolor A3(2)	melanin		AL645882.2	2943456	2944875
BGC0000911	Streptomyces griseus subsp. griseus NBRC 13350	melanin		AP009493.1	607506	608793
BGC0000912	Streptomyces griseus subsp. griseus NBRC 13350	melanin		AP009493.1	2884832	2886096
